Delta Detector Width, Delta E Detector deposit,E Detector deposit
0.1,0.1,0
0.2,0.0411886,0.158811
0.3,0.141189,0.158811
0.4,0.241189,0.158811
0.5,0.341189,0.158811
0.6,0.441189,0.158811
0.7,0.541189,0.158811
0.8,0.641189,0.158811
0.9,0.741189,0.158811
1,0.841189,0.158811
1.1,0.941189,0.158811
1.2,1.04119,0.158811
1.3,1.14119,0.158811
1.4,1.24119,0.158811
1.5,1.34119,0.158811
1.6,1.44119,0.158811
1.7,1.54119,0.158811
1.8,1.64119,0.158811
1.9,1.74119,0.158811
2,1.84119,0.158811
2.1,1.94119,0.158811
2.2,2.04119,0.158811
2.3,2.14119,0.158811
2.4,2.24119,0.158811
2.5,2.34119,0.158811
2.6,2.44119,0.158811
2.7,2.54119,0.158811
2.8,2.64119,0.158811
2.9,2.74119,0.158811
3,2.84119,0.158811
3.1,2.94119,0.158811
3.2,3.04119,0.158811
3.3,3.14119,0.158811
3.4,3.24119,0.158811
3.5,3.34119,0.158811
3.6,3.44119,0.158811
3.7,3.54119,0.158811
3.8,3.64119,0.158811
3.9,3.74119,0.158811
4,3.84119,0.158811
4.1,3.94119,0.158811
4.2,4.04119,0.158811
4.3,4.14119,0.158811
4.4,4.24119,0.158811
4.5,4.34119,0.158811
4.6,4.44119,0.158811
4.7,4.54119,0.158811
4.8,4.64119,0.158811
4.9,4.74119,0.158811
5,4.84119,0.158811
5.1,4.94119,0.158811
5.2,5.04119,0.158811
5.3,5.14119,0.158811
5.4,5.24119,0.158811
5.5,5.34119,0.158811
5.6,5.44119,0.158811
5.7,5.54119,0.158811
5.8,5.64119,0.158811
5.9,5.74119,0.158811
6,5.84119,0.158811
6.1,5.94119,0.158811
6.2,6.04119,0.158811
6.3,6.14119,0.158811
6.4,6.24119,0.158811
6.5,6.34119,0.158811
6.6,6.44119,0.158811
6.7,6.54119,0.158811
6.8,6.64119,0.158811
6.9,6.74119,0.158811
7,6.84119,0.158811
7.1,6.94119,0.158811
7.2,7.04119,0.158811
7.3,7.14119,0.158811
7.4,7.24119,0.158811
7.5,7.34119,0.158811
7.6,7.44119,0.158811
7.7,7.54119,0.158811
7.8,7.64119,0.158811
7.9,7.74119,0.158811
8,7.84119,0.158811
8.1,7.94119,0.158811
8.2,8.04119,0.158811
8.3,8.14119,0.158811
8.4,8.24119,0.158811
8.5,8.34119,0.158811
8.6,8.44119,0.158811
8.7,8.54119,0.158811
8.8,8.64119,0.158811
8.9,8.74119,0.158811
9,8.84119,0.158811
9.1,8.94119,0.158811
9.2,9.04119,0.158811
9.3,9.14119,0.158811
9.4,9.24119,0.158811
9.5,9.34119,0.158811
9.6,9.44119,0.158811
9.7,9.54119,0.158811
9.8,9.64119,0.158811
9.9,9.74119,0.158811
10,9.84119,0.158811
10.1,9.94119,0.158811
10.2,10.0412,0.158811
10.3,10.1412,0.158811
10.4,10.2412,0.158811
10.5,10.3412,0.158811
10.6,10.4412,0.158811
10.7,10.5412,0.158811
10.8,10.6412,0.158811
10.9,10.7412,0.158811
11,10.8412,0.158811
11.1,10.9412,0.158811
11.2,11.0412,0.158811
11.3,11.1412,0.158811
11.4,11.2408,0.159248
11.5,11.0121,0.166568
11.6,10.5639,0.714788
11.7,10.2205,1.15812
11.8,9.93838,1.54029
11.9,9.69587,1.88279
12,9.48162,2.19704
12.1,9.28879,2.48987
12.2,9.11291,2.76575
12.3,8.95086,3.0278
12.4,8.80038,3.27828
12.5,8.65974,3.51892
12.6,8.52761,3.75105
12.7,8.40294,3.97573
12.8,8.28485,4.19381
12.9,8.17264,4.40602
13,8.06572,4.61294
13.1,7.96358,4.81508
13.2,7.8658,5.01286
13.3,7.772,5.20667
13.4,7.68186,5.3968
13.5,7.5951,5.58356
13.6,7.51147,5.76719
13.7,7.43075,5.94791
13.8,7.35274,6.12592
13.9,7.27727,6.3014
14,7.20417,6.47449
14.1,7.1333,6.64536
14.2,7.06454,6.81412
14.3,6.99776,6.98091
14.4,6.93285,7.14581
14.5,6.86972,7.30894
14.6,6.80827,7.47039
14.7,6.74842,7.63025
14.8,6.69009,7.78858
14.9,6.63321,7.94546
15,6.57771,8.10096
15.1,6.52353,8.25514
15.2,6.47061,8.40806
15.3,6.41889,8.55977
15.4,6.36834,8.71032
15.5,6.31889,8.85977
15.6,6.27051,9.00815
15.7,6.22315,9.15551
15.8,6.17677,9.30189
15.9,6.13135,9.44732
16,6.08683,9.59184
16.1,6.04319,9.73548
16.2,6.00039,9.87827
16.3,5.95842,10.0202
16.4,5.91723,10.1614
16.5,5.87681,10.3019
16.6,5.83712,10.4415
16.7,5.79815,10.5805
16.8,5.75987,10.7188
16.9,5.72226,10.8564
17,5.68529,10.9934
17.1,5.64896,11.1297
17.2,5.61323,11.2654
17.3,5.5781,11.4006
17.4,5.54354,11.5351
17.5,5.50954,11.6691
17.6,5.47608,11.8026
17.7,5.44315,11.9355
17.8,5.41073,12.0679
17.9,5.3788,12.1999
18,5.34737,12.3313
18.1,5.3164,12.4623
18.2,5.2859,12.5928
18.3,5.25584,12.7228
18.4,5.22622,12.8524
18.5,5.19703,12.9816
18.6,5.16825,13.1104
18.7,5.13988,13.2388
18.8,5.1119,13.3668
18.9,5.08431,13.4944
19,5.05709,13.6216
19.1,5.03024,13.7484
19.2,5.00375,13.8749
19.3,4.97762,14.001
19.4,4.95182,14.1268
19.5,4.92636,14.2523
19.6,4.90123,14.3774
19.7,4.87642,14.5022
19.8,4.85192,14.6267
19.9,4.82773,14.7509
20,4.80384,14.8748
20.1,4.78024,14.9984
20.2,4.75693,15.1217
20.3,4.73391,15.2448
20.4,4.71116,15.3675
20.5,4.68868,15.49
20.6,4.66646,15.6122
20.7,4.64451,15.7342
20.8,4.62281,15.8559
20.9,4.60136,15.9773
21,4.58016,16.0985
21.1,4.55919,16.2195
21.2,4.53846,16.3402
21.3,4.51796,16.4607
21.4,4.49769,16.581
21.5,4.47764,16.701
21.6,4.45782,16.8208
21.7,4.4382,16.9405
21.8,4.4188,17.0599
21.9,4.3996,17.1791
22,4.3806,17.2981
22.1,4.36181,17.4169
22.2,4.34321,17.5355
22.3,4.32481,17.6539
22.4,4.30659,17.7721
22.5,4.28856,17.8901
22.6,4.27071,18.008
22.7,4.25304,18.1256
22.8,4.23555,18.2431
22.9,4.21824,18.3604
23,4.20109,18.4776
23.1,4.18412,18.5945
23.2,4.1673,18.7114
23.3,4.15066,18.828
23.4,4.13417,18.9445
23.5,4.11784,19.0608
23.6,4.10166,19.177
23.7,4.08564,19.293
23.8,4.06977,19.4089
23.9,4.05404,19.5246
24,4.03846,19.6402
24.1,4.02303,19.7556
24.2,4.00774,19.8709
24.3,3.99258,19.9861
24.4,3.97757,20.1011
24.5,3.96268,20.216
24.6,3.94794,20.3307
24.7,3.93332,20.4453
24.8,3.91883,20.5598
24.9,3.90447,20.6742
25,3.89023,20.7884
25.1,3.87612,20.9025
25.2,3.86213,21.0165
25.3,3.84826,21.1304
25.4,3.83451,21.2441
25.5,3.82088,21.3578
25.6,3.80736,21.4713
25.7,3.79396,21.5847
25.8,3.78066,21.698
25.9,3.76748,21.8112
26,3.75441,21.9243
26.1,3.74145,22.0372
26.2,3.72859,22.1501
26.3,3.71583,22.2628
26.4,3.70318,22.3755
26.5,3.69063,22.488
26.6,3.67818,22.6005
26.7,3.66584,22.7128
26.8,3.65359,22.8251
26.9,3.64143,22.9372
27,3.62937,23.0493
27.1,3.61741,23.1613
27.2,3.60554,23.2731
27.3,3.59376,23.3849
27.4,3.58207,23.4966
27.5,3.57047,23.6082
27.6,3.55896,23.7197
27.7,3.54754,23.8311
27.8,3.5362,23.9425
27.9,3.52495,24.0537
28,3.51379,24.1649
28.1,3.5027,24.276
28.2,3.4917,24.387
28.3,3.48078,24.4979
28.4,3.46995,24.6087
28.5,3.45919,24.7195
28.6,3.4485,24.8302
28.7,3.4379,24.9408
28.8,3.42737,25.0513
28.9,3.41692,25.1617
29,3.40654,25.2721
29.1,3.39624,25.3824
29.2,3.38601,25.4927
29.3,3.37585,25.6028
29.4,3.36577,25.7129
29.5,3.35575,25.8229
29.6,3.34581,25.9329
29.7,3.33593,26.0427
29.8,3.32612,26.1525
29.9,3.31638,26.2623
30,3.30671,26.372
30.1,3.2971,26.4816
30.2,3.28756,26.5911
30.3,3.27808,26.7006
30.4,3.26866,26.81
30.5,3.25931,26.9194
30.6,3.25002,27.0286
30.7,3.2408,27.1379
30.8,3.23163,27.247
30.9,3.22253,27.3561
31,3.21348,27.4652
31.1,3.20449,27.5742
31.2,3.19557,27.6831
31.3,3.1867,27.792
31.4,3.17789,27.9008
31.5,3.16913,28.0095
31.6,3.16043,28.1182
31.7,3.15179,28.2269
31.8,3.1432,28.3355
31.9,3.13467,28.444
32,3.12619,28.5525
32.1,3.11776,28.6609
32.2,3.10939,28.7693
32.3,3.10107,28.8776
32.4,3.0928,28.9859
32.5,3.08458,29.0941
32.6,3.07641,29.2022
32.7,3.0683,29.3104
32.8,3.06023,29.4184
32.9,3.05221,29.5264
33,3.04425,29.6344
33.1,3.03633,29.7423
33.2,3.02845,29.8502
33.3,3.02063,29.958
33.4,3.01285,30.0658
33.5,3.00512,30.1735
33.6,2.99743,30.2812
33.7,2.98979,30.3889
33.8,2.9822,30.4965
33.9,2.97465,30.604
34,2.96714,30.7115
34.1,2.95968,30.819
34.2,2.95227,30.9264
34.3,2.94489,31.0338
34.4,2.93756,31.1411
34.5,2.93027,31.2484
34.6,2.92302,31.3556
34.7,2.91582,31.4628
34.8,2.90865,31.57
34.9,2.90153,31.6771
35,2.89444,31.7842
35.1,2.8874,31.8913
35.2,2.8804,31.9983
35.3,2.87343,32.1052
35.4,2.86651,32.2122
35.5,2.85962,32.319
35.6,2.85277,32.4259
35.7,2.84596,32.5327
35.8,2.83919,32.6395
35.9,2.83245,32.7462
36,2.82575,32.8529
36.1,2.81909,32.9596
36.2,2.81247,33.0662
36.3,2.80588,33.1728
36.4,2.79932,33.2793
36.5,2.79281,33.3859
36.6,2.78632,33.4923
36.7,2.77987,33.5988
36.8,2.77346,33.7052
36.9,2.76708,33.8116
37,2.76073,33.9179
37.1,2.75442,34.0242
37.2,2.74814,34.1305
37.3,2.7419,34.2368
37.4,2.73569,34.343
37.5,2.72951,34.4492
37.6,2.72336,34.5553
37.7,2.71724,34.6614
37.8,2.71116,34.7675
37.9,2.7051,34.8736
38,2.69908,34.9796
38.1,2.69309,35.0856
38.2,2.68713,35.1915
38.3,2.6812,35.2975
38.4,2.6753,35.4034
38.5,2.66944,35.5092
38.6,2.6636,35.6151
38.7,2.65779,35.7209
38.8,2.65201,35.8267
38.9,2.64625,35.9324
39,2.64053,36.0381
39.1,2.63484,36.1438
39.2,2.62917,36.2495
39.3,2.62353,36.3551
39.4,2.61792,36.4607
39.5,2.61234,36.5663
39.6,2.60679,36.6719
39.7,2.60126,36.7774
39.8,2.59576,36.8829
39.9,2.59028,36.9884
40,2.58484,37.0938
40.1,2.57942,37.1992
40.2,2.57402,37.3046
40.3,2.56865,37.41
40.4,2.56331,37.5154
40.5,2.55799,37.6207
40.6,2.5527,37.726
40.7,2.54744,37.8312
40.8,2.5422,37.9365
40.9,2.53698,38.0417
41,2.53179,38.1469
41.1,2.52662,38.252
41.2,2.52148,38.3572
41.3,2.51636,38.4623
41.4,2.51126,38.5674
41.5,2.50619,38.6725
41.6,2.50115,38.7775
41.7,2.49612,38.8825
41.8,2.49112,38.9875
41.9,2.48614,39.0925
42,2.48119,39.1975
42.1,2.47626,39.3024
42.2,2.47135,39.4073
42.3,2.46646,39.5122
42.4,2.4616,39.6171
42.5,2.45675,39.7219
