Delta Detector Width, Delta E Detector deposit,E Detector deposit
0.1,0.1,0
0.2,0.2,0
0.3,0.0621853,0.237815
0.4,0.162185,0.237815
0.5,0.262185,0.237815
0.6,0.362185,0.237815
0.7,0.462185,0.237815
0.8,0.562185,0.237815
0.9,0.662185,0.237815
1,0.762185,0.237815
1.1,0.862185,0.237815
1.2,0.962185,0.237815
1.3,1.06219,0.237815
1.4,1.16219,0.237815
1.5,1.26219,0.237815
1.6,1.36219,0.237815
1.7,1.46219,0.237815
1.8,1.56219,0.237815
1.9,1.66219,0.237815
2,1.76219,0.237815
2.1,1.86219,0.237815
2.2,1.96219,0.237815
2.3,2.06219,0.237815
2.4,2.16219,0.237815
2.5,2.26219,0.237815
2.6,2.36219,0.237815
2.7,2.46219,0.237815
2.8,2.56219,0.237815
2.9,2.66219,0.237815
3,2.76219,0.237815
3.1,2.86219,0.237815
3.2,2.96219,0.237815
3.3,3.06219,0.237815
3.4,3.16219,0.237815
3.5,3.26219,0.237815
3.6,3.36219,0.237815
3.7,3.46219,0.237815
3.8,3.56219,0.237815
3.9,3.66219,0.237815
4,3.76219,0.237815
4.1,3.86219,0.237815
4.2,3.96219,0.237815
4.3,4.06219,0.237815
4.4,4.16219,0.237815
4.5,4.26219,0.237815
4.6,4.36219,0.237815
4.7,4.46219,0.237815
4.8,4.56219,0.237815
4.9,4.66219,0.237815
5,4.76219,0.237815
5.1,4.86219,0.237815
5.2,4.96219,0.237815
5.3,5.06219,0.237815
5.4,5.16219,0.237815
5.5,5.26219,0.237815
5.6,5.36219,0.237815
5.7,5.46219,0.237815
5.8,5.56219,0.237815
5.9,5.66219,0.237815
6,5.76219,0.237815
6.1,5.86219,0.237815
6.2,5.96219,0.237815
6.3,6.06219,0.237815
6.4,6.16219,0.237815
6.5,6.26219,0.237815
6.6,6.36219,0.237815
6.7,6.46219,0.237815
6.8,6.56219,0.237815
6.9,6.66219,0.237815
7,6.76219,0.237815
7.1,6.86219,0.237815
7.2,6.96219,0.237815
7.3,7.06219,0.237815
7.4,7.16219,0.237815
7.5,7.26219,0.237815
7.6,7.36219,0.237815
7.7,7.46219,0.237815
7.8,7.56219,0.237815
7.9,7.66219,0.237815
8,7.76219,0.237815
8.1,7.86219,0.237815
8.2,7.96219,0.237815
8.3,8.06219,0.237815
8.4,8.16219,0.237815
8.5,8.26219,0.237815
8.6,8.36219,0.237815
8.7,8.46219,0.237815
8.8,8.56219,0.237815
8.9,8.66219,0.237815
9,8.76219,0.237815
9.1,8.86219,0.237815
9.2,8.96219,0.237815
9.3,9.06219,0.237815
9.4,9.16219,0.237815
9.5,9.26219,0.237815
9.6,9.36219,0.237815
9.7,9.46219,0.237815
9.8,9.56219,0.237815
9.9,9.66219,0.237815
10,9.76219,0.237815
10.1,9.86219,0.237815
10.2,9.96219,0.237815
10.3,10.0622,0.237815
10.4,10.1622,0.237815
10.5,10.2622,0.237815
10.6,10.3622,0.237815
10.7,10.4622,0.237815
10.8,10.5622,0.237815
10.9,10.6622,0.237815
11,10.7622,0.237815
11.1,10.8622,0.237815
11.2,10.9622,0.237815
11.3,11.0622,0.237815
11.4,11.1622,0.237815
11.5,11.2622,0.237815
11.6,11.3622,0.237815
11.7,11.4622,0.237815
11.8,11.5622,0.237815
11.9,11.6622,0.237815
12,11.7622,0.237815
12.1,11.8622,0.237815
12.2,11.9622,0.237815
12.3,12.0622,0.237815
12.4,12.1622,0.237815
12.5,12.2622,0.237815
12.6,12.3622,0.237815
12.7,12.4622,0.237815
12.8,12.5622,0.237815
12.9,12.6622,0.237815
13,12.7622,0.237815
13.1,12.8622,0.237815
13.2,12.9622,0.237815
13.3,13.0622,0.237815
13.4,13.1621,0.237876
13.5,13.2431,0.256863
13.6,12.9703,0.148481
13.7,12.5745,0.644266
13.8,12.2401,1.07872
13.9,11.9538,1.46504
14,11.7022,1.81666
14.1,11.4766,2.14218
14.2,11.2715,2.44728
14.3,11.083,2.73584
14.4,10.9081,3.0107
14.5,10.7448,3.27397
14.6,10.5915,3.52726
14.7,10.4469,3.77187
14.8,10.31,4.00882
14.9,10.1799,4.23896
15,10.0558,4.46299
15.1,9.93729,4.68152
15.2,9.82378,4.89503
15.3,9.71483,5.10398
15.4,9.61009,5.30872
15.5,9.50922,5.50959
15.6,9.41193,5.70688
15.7,9.31796,5.90085
15.8,9.22709,6.09172
15.9,9.13912,6.27969
16,9.05386,6.46495
16.1,8.97114,6.64766
16.2,8.89083,6.82798
16.3,8.81277,7.00604
16.4,8.73685,7.18196
16.5,8.66296,7.35585
16.6,8.59098,7.52783
16.7,8.52082,7.69799
16.8,8.4524,7.86641
16.9,8.38563,8.03318
17,8.32043,8.19838
17.1,8.25674,8.36207
17.2,8.19449,8.52432
17.3,8.13362,8.68519
17.4,8.07406,8.84475
17.5,8.01577,9.00304
17.6,7.9587,9.16011
17.7,7.90279,9.31602
17.8,7.84801,9.4708
17.9,7.79431,9.6245
18,7.74164,9.77716
18.1,7.68999,9.92882
18.2,7.6393,10.0795
18.3,7.58955,10.2293
18.4,7.5407,10.3781
18.5,7.49273,10.5261
18.6,7.4456,10.6732
18.7,7.39928,10.8195
18.8,7.35376,10.965
18.9,7.30901,11.1098
19,7.265,11.2538
19.1,7.22171,11.3971
19.2,7.17912,11.5397
19.3,7.13722,11.6816
19.4,7.09597,11.8228
19.5,7.05536,11.9634
19.6,7.01538,12.1034
19.7,6.976,12.2428
19.8,6.93721,12.3816
19.9,6.899,12.5198
20,6.86135,12.6575
20.1,6.82424,12.7946
20.2,6.78766,12.9312
20.3,6.75159,13.0672
20.4,6.71603,13.2028
20.5,6.68097,13.3378
20.6,6.64638,13.4724
20.7,6.61226,13.6065
20.8,6.5786,13.7402
20.9,6.54538,13.8734
21,6.5126,14.0062
21.1,6.48025,14.1386
21.2,6.44831,14.2705
21.3,6.41678,14.402
21.4,6.38564,14.5332
21.5,6.3549,14.6639
21.6,6.32453,14.7943
21.7,6.29454,14.9243
21.8,6.26491,15.0539
21.9,6.23564,15.1832
22,6.20671,15.3121
22.1,6.17813,15.4407
22.2,6.14989,15.5689
22.3,6.12197,15.6968
22.4,6.09437,15.8244
22.5,6.06709,15.9517
22.6,6.04012,16.0787
22.7,6.01345,16.2054
22.8,5.98708,16.3317
22.9,5.961,16.4578
23,5.9352,16.5836
23.1,5.90969,16.7091
23.2,5.88445,16.8344
23.3,5.85948,16.9593
23.4,5.83478,17.084
23.5,5.81033,17.2085
23.6,5.78615,17.3327
23.7,5.76221,17.4566
23.8,5.73852,17.5803
23.9,5.71508,17.7037
24,5.69187,17.8269
24.1,5.66889,17.9499
24.2,5.64615,18.0727
24.3,5.62363,18.1952
24.4,5.60134,18.3175
24.5,5.57926,18.4395
24.6,5.5574,18.5614
24.7,5.53575,18.6831
24.8,5.51431,18.8045
24.9,5.49307,18.9257
25,5.47203,19.0468
25.1,5.45119,19.1676
25.2,5.43055,19.2883
25.3,5.4101,19.4087
25.4,5.38984,19.529
25.5,5.36976,19.649
25.6,5.34987,19.7689
25.7,5.33016,19.8887
25.8,5.31062,20.0082
25.9,5.29126,20.1275
26,5.27207,20.2467
26.1,5.25306,20.3658
